Torbens_MetaG_Dir_Name	taxon_oid	Domain	Sequencing_Status	Study_Name	Genome_Name_/_Sample_Name	Sequencing_Center	IMG_Genome_ID	JGI_Project_ID_/_ITS_SP_ID	Geographic_Location	GOLD_Ecosystem	GOLD_Ecosystem_Category	GOLD_Ecosystem_Subtype	GOLD_Ecosystem_Type	GOLD_Sequencing_Depth	GOLD_Sequencing_Quality	GOLD_Sequencing_Status	GOLD_Sequencing_Strategy	GOLD_Specific_Ecosystem	Habitat	Latitude	Longitude	Genome_Size_assembled	Gene_Count_assembled
403934	3300001273	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Lake Mendota, WI - Practice 20APR2010 epilimnion	DOE Joint Genome Institute (JGI)	3300001273	403934	Lake Mendota, Madison, WI	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Epilimnion	Freshwater	43.098333	-89.405278	21720603	45923
403935	2199352004	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Lake Mendota, WI - Practice 15JUN2010 epilimnion	DOE Joint Genome Institute (JGI)	2199352004	403935	Lake Mendota, Madison, WI	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Epilimnion	Freshwater	43.098333	-89.405278	71094217	160817
403936	3300021138	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - Practice 03JUN2009 epilimnion	DOE Joint Genome Institute (JGI)	3300021138	403936	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Epilimnion	Freshwater	46.0412	-89.6864	270029614	526955
403937	3300021137	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - Practice 03JUN2009 hypolimnion	DOE Joint Genome Institute (JGI)	3300021137	403937	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Hypolimnion	Freshwater	46.0412	-89.6864	263005214	521171
403938	3300021139	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - Practice 18AUG2009 epilimnion	DOE Joint Genome Institute (JGI)	3300021139	403938	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Epilimnion	Freshwater	46.0412	-89.6864	254134288	540239
403939	3300000177	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - Practice 18AUG2009 hypolimnion	DOE Joint Genome Institute (JGI)	3300000177	403939	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Hypolimnion	Freshwater	46.0412	-89.6864	72801538	163454
403940	2199352005	*Microbiome	Permanent Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Lake Mendota, WI - Practice 29OCT2010 epilimnion	DOE Joint Genome Institute (JGI)	2199352005	403940	Lake Mendota, Madison, WI	Environmental	Aquatic	Lake, Lentic	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Epilimnion	Freshwater	43.098333	-89.405278	63922670	157669
403962	3300000266	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_J_09_P20_500	DOE Joint Genome Institute (JGI)	3300000266	403962	Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	49.566667	-138.666667	68022008	164510
403973	3300000258	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_J_09_P20_1000	DOE Joint Genome Institute (JGI)	3300000258	403973	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	48.35	-123.3	92615039	236870
403974	3300000260	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P20_500	DOE Joint Genome Institute (JGI)	3300000260	403974	Line P, Station P20, Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	49.566667	-138.666667	117112345	299546
