id	name	category	provided_by
GOLD:ga0064069	ga0064069	biolink:Attribute	GOLD
GOLD:gp0109961	gp0109961	biolink:Attribute	GOLD
GOLD:metagenome_analysis	metagenome_analysis	biolink:Attribute	GOLD
GOLD:gs0114042	gs0114042	biolink:Attribute	GOLD
GOLD:ingolstadt_germany	ingolstadt_germany	biolink:NamedThing	GOLD
GOLD:engineered	engineered	biolink:Attribute	GOLD
GOLD:wastewater	wastewater	biolink:Attribute	GOLD
GOLD:activated_sludge	activated_sludge	biolink:Attribute	GOLD
GOLD:complete	complete	biolink:Attribute	GOLD
GOLD:metagenome	metagenome	biolink:Attribute	GOLD
Assembly_size:7	7	biolink:NamedThing	GOLD
Gene_count:4	4	biolink:NamedThing	GOLD
GOLD:ga0064068	ga0064068	biolink:Attribute	GOLD
Gene_count:5	5	biolink:NamedThing	GOLD
GOLD:ga0068537	ga0068537	biolink:Attribute	GOLD
GOLD:gp0111541	gp0111541	biolink:Attribute	GOLD
GOLD:combined_assembly	combined_assembly	biolink:Attribute	GOLD
GOLD:gs0114457	gs0114457	biolink:Attribute	GOLD
GOLD:ann_arbor_mi	ann_arbor_mi	biolink:NamedThing	GOLD
GOLD:wastewater_biotreactor	wastewater_biotreactor	biolink:Attribute	GOLD
Assembly_size:8	8	biolink:NamedThing	GOLD
Gene_count:6	6	biolink:NamedThing	GOLD
GOLD:ga0068536	ga0068536	biolink:Attribute	GOLD
GOLD:gp0111537	gp0111537	biolink:Attribute	GOLD
GOLD:wastewater_bioreactor	wastewater_bioreactor	biolink:Attribute	GOLD
Assembly_size:9	9	biolink:NamedThing	GOLD
GOLD:ga0069612	ga0069612	biolink:Attribute	GOLD
GOLD:gp0111534	gp0111534	biolink:Attribute	GOLD
GOLD:ga0069611	ga0069611	biolink:Attribute	GOLD
GOLD:ga0073905	ga0073905	biolink:Attribute	GOLD
GOLD:gp0115564	gp0115564	biolink:Attribute	GOLD
GOLD:gs0103597	gs0103597	biolink:Attribute	GOLD
GOLD:austria_klosterneuburg	austria_klosterneuburg	biolink:NamedThing	GOLD
GOLD:ga0073902	ga0073902	biolink:Attribute	GOLD
GOLD:gp0115561	gp0115561	biolink:Attribute	GOLD
GOLD:ga0073903	ga0073903	biolink:Attribute	GOLD
GOLD:gp0115562	gp0115562	biolink:Attribute	GOLD
GOLD:ga0073900	ga0073900	biolink:Attribute	GOLD
GOLD:gp0115559	gp0115559	biolink:Attribute	GOLD
Gene_count:7	7	biolink:NamedThing	GOLD
GOLD:ga0073904	ga0073904	biolink:Attribute	GOLD
GOLD:gp0115563	gp0115563	biolink:Attribute	GOLD
GOLD:ga0082021	ga0082021	biolink:Attribute	GOLD
GOLD:gp0121543	gp0121543	biolink:Attribute	GOLD
GOLD:gs0116800	gs0116800	biolink:Attribute	GOLD
GOLD:ulu_pandan_singapore	ulu_pandan_singapore	biolink:NamedThing	GOLD
GOLD:wastewater_treatment_plant	wastewater_treatment_plant	biolink:Attribute	GOLD
GOLD:ga0104348	ga0104348	biolink:Attribute	GOLD
GOLD:gp0127442	gp0127442	biolink:Attribute	GOLD
GOLD:gs0118053	gs0118053	biolink:Attribute	GOLD
GOLD:nagpur_india	nagpur_india	biolink:NamedThing	GOLD
GOLD:aeration_tank_of_activated_sludge_process	aeration_tank_of_activated_sludge_process	biolink:Attribute	GOLD
GOLD:ga0104734	ga0104734	biolink:Attribute	GOLD
GOLD:gp0127450	gp0127450	biolink:Attribute	GOLD
GOLD:gujarat_ankleshwar_india	gujarat_ankleshwar_india	biolink:NamedThing	GOLD
GOLD:aeration_tank_of_activted_sludge_process	aeration_tank_of_activted_sludge_process	biolink:Attribute	GOLD
GOLD:ga0073899	ga0073899	biolink:Attribute	GOLD
GOLD:gp0115558	gp0115558	biolink:Attribute	GOLD
GOLD:ga0130016	ga0130016	biolink:Attribute	GOLD
GOLD:gp0147202	gp0147202	biolink:Attribute	GOLD
GOLD:gs0120415	gs0120415	biolink:Attribute	GOLD
GOLD:taiwan	taiwan	biolink:NamedThing	GOLD
GOLD:ga0131092	ga0131092	biolink:Attribute	GOLD
GOLD:gp0148983	gp0148983	biolink:Attribute	GOLD
GOLD:gs0120437	gs0120437	biolink:Attribute	GOLD
GOLD:tai_wan	tai_wan	biolink:NamedThing	GOLD
GOLD:ga0131077	ga0131077	biolink:Attribute	GOLD
GOLD:gp0148694	gp0148694	biolink:Attribute	GOLD
Assembly_size:10	10	biolink:NamedThing	GOLD
GOLD:ga0119867	ga0119867	biolink:Attribute	GOLD
GOLD:gp0137206	gp0137206	biolink:Attribute	GOLD
GOLD:gs0118577	gs0118577	biolink:Attribute	GOLD
GOLD:china_quyang_shanghai	china_quyang_shanghai	biolink:NamedThing	GOLD
GOLD:ga0119869	ga0119869	biolink:Attribute	GOLD
GOLD:gp0137208	gp0137208	biolink:Attribute	GOLD
GOLD:ga0138256	ga0138256	biolink:Attribute	GOLD
GOLD:gp0156527	gp0156527	biolink:Attribute	GOLD
GOLD:active_sludge	active_sludge	biolink:Attribute	GOLD
GOLD:ga0154020	ga0154020	biolink:Attribute	GOLD
GOLD:gp0175830	gp0175830	biolink:Attribute	GOLD
GOLD:ga0119868	ga0119868	biolink:Attribute	GOLD
GOLD:gp0137207	gp0137207	biolink:Attribute	GOLD
GOLD:ga0119870	ga0119870	biolink:Attribute	GOLD
GOLD:gp0137209	gp0137209	biolink:Attribute	GOLD
GOLD:ga0256613	ga0256613	biolink:Attribute	GOLD
GOLD:gp0295769	gp0295769	biolink:Attribute	GOLD
GOLD:gs0133503	gs0133503	biolink:Attribute	GOLD
GOLD:fort_collins_colorado_usa	fort_collins_colorado_usa	biolink:NamedThing	GOLD
